Passage,DOI,Material,Rc,Unit,log(Rc)
"Thermodynamics and structural relaxation in Ce-based bulk metallic glass-forming liquids. The smaller the ΔG, the smaller the driving force of crystallization, and therefore the smaller nucleation and growth rate in the supercooled and the better glass-forming ability. This is consistent with the experimental results shown in Fig. 5, i.e. the smallest ΔG occurs for Pd43Ni10Cu27P20 alloy, which has the critical cooling rate of 1K/s (indicated in plot), while the largest ΔG is for Zr64Ni34 with a critical cooling rate of 10^(4) K/s.",10.1016/j.jallcom.2011.01.106,Cu27Ni10P20Pd43,1,K/s,0
"Laser 3D printing of Zr-based bulk metallic glass. The results of many studies have suggested that the crystallization behavior of BMG between cooling from the liquid state into the amorphous and heating from the amorphous solid state was obviously asymmetric [27]. For example, the critical cooling rate R c of Zr41.2Ti13.8Cu12.5Ni10.0Be22.5 BMG (Vit1) is approximately 1 K/s, however, the critical heating rate R h to prevent crystallization of Vit1 happening is two orders of magnitude larger than R c, which is about 200 K/s [28].",10.1016/j.jmapro.2019.02.020,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Laser additive manufacturing of laminated bulk metallic glass composite with desired strength-ductility combination. The crystalline behaviors of BMGs between cooling from the liquid state and heating from the amorphous solid state were obviously asymmetric, as can be observed in Fig. 6(a). For instance, the critical cooling rate R c of Zr41.2Ti13.8Cu12.5Ni10.0Be22.5 BMG (Vit1) is approximately 1 K s^(–1), while the critical heating rate R h required to avoid crystallization of Vit1 is about 200 K s^(–1), two orders of magnitude larger than R c [59,60].",10.1016/j.jmst.2022.10.062,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Glass formation and crystallization behavior in Mg65Cu25Y10−x Gd x (x=0, 5 and 10) alloys. For Mg65Cu25Y10-x Gd x alloy system, T rg increases slightly from 0.54 to 0.55 with the increase of x from 0 to 5 and then again decreases to 0.54 with further increasing x to 10, i.e. the Mg65Cu25Gd10 and Mg65Cu25Y10 alloys have almost same value of T rg, although there is a much difference in GFA. The critical cooling rate for glass formation (R c) in the Mg65Cu25Gd10 alloy is estimated to be about ∼1 K/s [18], which is several orders of magnitude smaller than that of the Mg65Cu25Y10 alloy.",10.1016/j.jnoncrysol.2004.03.110,Cu25Gd10Mg65,1,K/s,0
"Mechanical properties over the glass transition of Zr41.2Ti13.8Cu12.5Ni10Be22.5 bulk metallic glass. Conversely, at high temperatures (i.e. in the SLR), homogeneous flow can be obtained, resulting in a particularly large plastic stability. Among the recently developed BMG, the Zr41.2Ti13.8Cu12.5Ni10Be22.5 alloy (so-called Vit1) is one of the best glass former, with a critical cooling rate of approximately 1K/s [2].",10.1016/j.jnoncrysol.2005.06.012,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Crystallization prediction on laser three-dimensional printing of Zr-based bulk metallic glass. Many previous results have found that the crystallization behavior of BMG between cooling from the liquid state and heating from the amorphous solid state was obviously asymmetric [18,19]. For instance, the critical cooling rate R c of Zr41.2Ti13.8Cu12.5Ni10.0Be22.5 BMG (Vit1) is approximately 1K/s, while the critical heating rate R h required to avoid crystallization of Vit1 is about 200K/s, two orders of magnitude larger than R c [20].",10.1016/j.jnoncrysol.2017.01.038,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Isothermal crystallization kinetics of an industrial-grade Zr-based bulk metallic glass. The low critical cooling rates R c , which are the minimum cooling rates required to vitrify BMG formers, on the order of 1 K/s of Zr-based BMGs, position them as one of the best BMG formers [5]. For example, the famous Vitreloy T M family BMGs Vit 1 (Zr 41.2 Ti 13.8 Cu 12.5 Ni 10.0 Be 22.5 in at.%%) and Vit 106a (Zr 58.5 Cu 15.6 Ni 12.8 Al 10.3 Nb 2.8 in at.%%) have critical cooling rates of 1 K/s and 1.75 K/s, respectively [6–8].",10.1016/j.jnoncrysol.2021.121145,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Shear yield and flow behavior of a zirconium-based bulk metallic glass. Liquidmetal-1 (LM-1, Zr41.25Ti13.75Ni10Cu12.5Be22.5) is a bulk metallic glass (BMG) that can be processed to fully amorphous conditions in large thicknesses (up to 10mm) because of its relatively low critical cooling rate (1K/s) (Peker and Johnson, 1993). Liquidmetal-1 (LM-1, Zr41.25Ti13.75Ni10Cu12.5Be22.5) is a bulk metallic glass (BMG) that can be processed to fully amorphous conditions in large thicknesses (up to 10mm) because of its relatively low critical cooling rate (1K/s) (Peker and Johnson, 1993).",10.1016/j.mechmat.2009.11.003,Be22.5Cu12.5Ni10Ti13.75Zr41.25,1,K/s,0
"Dispersion technique studies on Pd43Ni10Cu27P20. Pd40Ni40P20 was discovered in 1984 as the first bulk metallic glass (BMG) forming alloy with a critical cooling rate as low as about 1K/s, when processed in B2O3 [1]. Pd40Ni40P20 was discovered in 1984 as the first bulk metallic glass (BMG) forming alloy with a critical cooling rate as low as about 1K/s, when processed in B2O3 [1].",10.1016/j.msea.2003.10.176,Ni40P20Pd40,1,K/s,0
"Thermodynamic properties and metastability of bulk metallic glasses. In Fig. 7, ΔG(T) for several metallic glass forming alloys is shown including those processed in high precision microgravity experiments in recent space shuttle flights [59]: Curve: (1) Zr64Ni36 with a critical cooling rate R c>10^(5) K/s; (2) Ti34Zr11Cu47Ni8; (3) Zr65Al7.5Cu17.5Ni10; (4) Zr60Al10Cu18Ni9Co3; (5) Zr57Nb5Cu15.4Ni12.6Al10; and (6) Zr41.2Ti13.8Cu12.5Ni10Be22.5 with R c≈1K/s. Zr64Ni36 with a critical cooling rate R c>10^(5) K/s; Ti34Zr11Cu47Ni8; Zr65Al7.5Cu17.5Ni10; Zr60Al10Cu18Ni9Co3; Zr57Nb5Cu15.4Ni12.6Al10; and Zr41.2Ti13.8Cu12.5Ni10Be22.5 with R c≈1K/s.",10.1016/j.msea.2003.10.254,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Wear resistance of Zr-based bulk metallic glass applied in bearing rollers. Since the successful preparation of Zr41.2Ti13.8Cu12.5Ni10.0Be22.5 bulk metallic glass (BMG) by Peker and Johnson in 1993, Zr-based BMG has attracted much attention [1,2]. Because this material has a very low critical cooling rate, ∼1K/s, for formation of BMG, it is possible to produce it into rods or plates to several tens of millimetre.",10.1016/j.msea.2004.07.054,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Deformation and crystallization of a Zr41.2Ti13.8Cu12.5Ni10Be22.5 bulk metallic glass in the supercooled liquid region. Thus, BMGs are considered as promising structural materials, e.g. in the field of near net shape fabrication of structural components. Among the multi-component BMGs, the zirconium-based alloy Zr41.2Ti13.8Cu12.5Ni10Be22.5 (Vitreloy 1) is a particularly good glass former with a critical cooling rate as low as approximately 1K/s [4].",10.1016/j.msea.2006.07.050,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"A study of the glass forming ability in ZrNiAl alloys. Their strength can be as high as 2GPa, and elastic strain is approximately 2%, which are substantially higher than those of the most crystalline alloys. One of the most highly processible BMGs is alloy Zr41Ti14Cu12.5Ni10Be22.5, which has a critical cooling rate of about 1K/s [5].",10.1016/j.msea.2006.08.109,Be22.5Cu12.5Ni10Ti14Zr41,1,K/s,0
"Micro-forming and surface evaluation of Zr41Ti14Cu12.5Ni10Be22.5 bulk metallic glass. Also, using normalized roughness, a new parameter is suggested as a measure of micro-formability of different forming conditions. The reason to use vit 1 is that it is one of the best BMG's showing excellent glass forming ability with critical cooling rate of 1K/s [12] and low viscosity sufficient to micro-forming.",10.1016/j.msea.2006.10.153,Be22.5Cu12.5Ni10Ti14Zr41,1,K/s,0
"The influence of cooling rate on the hardness of Pd–Si binary glassy alloys. According to the effects of structural relaxation on the property changes of conventional metallic glasses induced by annealing, different cooling rates would result in the variation in glass transition temperature, density, structure sensitive properties such as hardness, and other properties. Recently, some bulk metallic glasses exhibited a very low R c, such as 1.0K/s for the Pd40Ni10Cu30P20 BMG [15].",10.1016/j.msea.2007.03.094,Cu30Ni10P20Pd40,1,K/s,0
"Bulk metallic glasses. Vitalloy 1 (vit1), one of the most extensively studied BMG in the family, has the composition of Zr41Ti14Cu12.5Ni10Be22.5. Its temperature–time transition (TTT) diagram has the “nose” of the nucleation curve for crystals at time scales of the order 10^(2) s and the critical cooling rates for glass formation in the 1K/s range.",10.1016/j.mser.2004.03.001,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"3D printing of bulk metallic glasses. A representative example of the alloy Zr55Cu30Ni5Al10 with a critical cast diameter of 30 mm has been successfully developed [8]. Peker and Johnson have also developed another important glass former (Zr41.2Ti13.8Cu12.5Ni10.0Be22.5) with a critical cooling rate down of only 1 K/s, which became the first commercial BMG (originally named Vit 1) [9].",10.1016/j.mser.2021.100625,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"On the crystalline equilibrium phases of the Zr57Cu15.4Ni12.6Al10Nb5 bulk metallic glass forming alloy. Vit 106 has a critical cooling rate of 10 Ks^(-1) [9]. It has moderate glass forming ability when compared to Zr41.2Ti13.8Cu12.5Ni10Be22.5, which has a critical cooling rate of 1 Ks^(-1) [10].",10.1016/j.scriptamat.2003.12.023,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Influence of structural relaxation on the fatigue behavior of a Zr41.25Ti13.75Ni10Cu12.5Be22.5 bulk amorphous alloy. The kinetic glass transition involves sudden changes of the specific heat capacity [26] and the expansion coefficient [27], while free volume, enthalpy, and configurational entropy are frozen in. Noting that the Zr–Ti–Ni–Cu–Be glass-forming system has a very low critical cooling rate of about 1K/s [3,28], differences in the cooling rate above this critical value may result in variations in the physical and thermodynamic properties, in particular the enthalpy and free volume of the system.",10.1016/j.scriptamat.2005.09.048,Be22.5Cu12.5Ni10Ti13.75Zr41.25,1,K/s,0
"Microhardness and abrasive wear resistance of metallic glasses and nanostructured composite materials. Before 1990, Fe-, Co- and Ni-based amorphous alloys were formed by using high cooling rates but the resulting sample thickness was limited to less than about 50 μm [2] reducing their potential as engineering materials. However, in 1984, an exceptional example, Pd40Ni40P20 was discovered as the first bulk metallic glass (BMG) forming alloy with a critical cooling rate as low as about 1 Ks^(-1) when processed in B2O3 [3].",10.1016/S0022-3093(02)01941-5,Ni40P20Pd40,1,K/s,0
"Microhardness and abrasive wear resistance of metallic glasses and nanostructured composite materials. On the other hand, in order to develop some of the best bulk glass-forming alloys, Johnson [16] has successfully added suitable components (Cu, Ni) to lower the eutectic temperature in the Zr–Ti–Be system obtaining the family of Zr–Ti–Cu–Ni–Be glasses. These alloys show an exceptional glass forming ability and a critical cooling rate as low as about 1 Ks^(-1) such as for Vitreloy^(™), which makes them very interesting materials for engineering applications [7].",10.1016/S0022-3093(02)01941-5,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
Thermodynamics and kinetics of the Zr41.2Ti13.8Cu10.0Ni12.5Be22.5 bulk metallic glass forming liquid: glass formation from a strong liquid. In the following we will present results from viscosity measurements on the Zr 41.2 Ti 13.8 Cu 10.0 Ni 12.5 Be 22.5 (Vit1) BMG forming alloy [8]. With a critical cooling rate for crystallization of 1 Ks^(-1) it is one of the best metallic glass forming systems [9] and thermodynamic data [10] and specific volume measurements [11] are already available.,10.1016/S0022-3093(99)00133-7,Be22.5Cu10Ni12.5Ti13.8Zr41.2,1,K/s,0
"Nanocrystallization of Zr–Ti–Cu–Ni–Be bulk metallic glass. The critical cooling rate for the glass forming is ranged from several to several hundred K/s so that amorphous samples with the thickness in the order of mm or even cm can be fabricated [2,3], which implies that the fully amorphous alloys can be prepared using conventional cast techniques. Among them, Zr41.2Ti13.8Cu12.5Ni10Be22.5 bulk metallic glass attracts special attention in the last few years, not only because of its high glass forming ability (R c=1 K/s) [4], excellent mechanical and engineering properties, but also as one of the representative examples of fundamental condensed-matter studies [5–9].",10.1016/S0167-577X(02)01222-3,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Crystallization behavior of the bulk metallic glass forming Zr41Ti14Cu12Ni10Be23 liquid. This diagram reveals a large asymmetry in the crystallization behavior between cooling from the stable melt and heating the amorphous sample. In agreement with previous results [12], we found a critical cooling rate for Vit 1 of about 1K/s.",10.1016/S0921-5093(00)01454-4,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Thermodynamics and kinetics of Zr–Ti–Cu–Ni–Be bulk metallic glass forming liquids. In Fig. 6 , the Gibbs free enthalpy difference between the supercooled liquid and the crystalline mixture is compared with a selection of other eutectic, or close to eutectic, glass forming systems. The alloys show different critical cooling rates between 1K/s for the pentary Vit 1 and about 10^(4) K/s for the binary Zr62Ni38.",10.1016/S0921-5093(00)01458-1,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Preparation and super-plastic deformation of the Zr-based bulk metallic glass. In addition, bulk metallic glasses have been found to have excellent mechanical properties, high wear resistance and high corrosion resistance [5], which offer great potential for commercial applications. One of the most highly processible bulk metallic glass is Zr41Ti14Cu12.5Ni10Be22.5, which has a critical cooling rate of about 1 K s^(-1) [6].",10.1016/S0921-5093(03)00370-8,Be22.5Cu12.5Ni10Ti14Zr41,1,K/s,0
"Thermodynamics of La based La–Al–Cu–Ni–Co alloys studied by temperature modulated DSC. Therefore, the small Gibbs free energy difference for bulk glass formers could be one crucial point in understanding the high glass forming ability. However, the Gibbs free energy differences for the present La base alloys, which have critical cooling rates between 18.8 and 67.7 K/s, are even smaller than that of Zr41.2Ti13.8Cu12.5Ni10Be22.5 alloy which has a critical cooling rate of 1 K/s.",10.1016/S0966-9795(99)00159-4,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Mechanical properties of Zr56.2Ti13.8Nb5.0Cu6.9Ni5.6Be12.5 ductile phase reinforced bulk metallic glass composite. The Zr41.2Ti13.8Cu12.5Ni10Be22.5 (Vitreloy 1) bulk metallic glass exhibits an exceptional glass forming ability with a critical cooling rate of ∼1K/s, which makes it a very interesting material for structural applications. The Zr41.2Ti13.8Cu12.5Ni10Be22.5 (Vitreloy 1) bulk metallic glass exhibits an exceptional glass forming ability with a critical cooling rate of ∼1K/s, which makes it a very interesting material for structural applications.",10.1016/S1359-6454(01)00068-4,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
Transition from nucleation controlled to growth controlled crystallization in Pd43Ni10Cu27P20 melts. In 1984 Pd40Ni40P20 has been discovered as the first bulk metallic glass (BMG) forming alloy with a critical cooling rate as low as about 1 K/s when processed in B2O3 [1]. In 1984 Pd40Ni40P20 has been discovered as the first bulk metallic glass (BMG) forming alloy with a critical cooling rate as low as about 1 K/s when processed in B2O3 [1].,10.1016/S1359-6454(01)00159-8,Ni40P20Pd40,1,K/s,0
"The effects of hydrogen on viscoelastic relaxation in Zr–Ti–Ni–Cu–Be bulk metallic glasses: implications for hydrogen embrittlement. Moreover, some Zr and Ti based metallic glasses have been considered as hydrogen-storage materials where potential embrittling effects of internal hydrogen are of significant concern [8]. Among the bulk metallic glasses, a Zr–Ti–Ni–Cu–Be alloy (Vitreloy 1) is one of the best glass formers, with a critical cooling rate as low as 1 K/s [9].",10.1016/S1359-6454(01)00359-7,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Formation and properties of Zr48Nb8Cu14Ni12Be18 bulk metallic glass. The Zr-based BMGs exhibit unique mechanical properties as well as good wear and corrosion resistance, which could be used in fine optical machinery parts, writing tools, sporting goods and electrodes for generation of chloride gas. Zr65Al7.5Ni10Cu17.5 [2], Zr57.5Al7.5Ni10Cu20Ti5 [4], Zr41Ti14Cu12.5Ni10Be22.5 [1] and Zr57Al10Ni12.6Cu15.4Nb5 [5] are typical Zr-based BMGs exhibiting excellent glass forming ability (GFA) and high thermal stability, the alloy Zr41Ti14Cu12.5Ni10Be22.5 is the best glass former with a critical cooling rate of approximately 1 K/s [3].",10.1016/S1359-6454(02)00602-X,Be22.5Cu12.5Ni10Ti14Zr41,1,K/s,0
"Equilibrium viscosity of the Zr41.2Ti13.8Cu12.5Ni10Be22.5 bulk metallic glass-forming liquid and viscous flow during relaxation, phase separation, and primary crystallization. As a result, both parallel plate rheometry and three-point beam bending, previously used in the study of silicate glasses and polymers, can now be utilized to measure the viscosity of BMG alloys well into the supercooled liquid region[6, 7]. Of these recent multicomponent BMG alloys, Zr41.2Ti13.8Cu12.5Ni10Be22.5 is the best glass former, with a critical cooling rate of approximately 1K/s[8].",10.1016/S1359-6454(98)00242-0,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1,K/s,0
"Spark welding of Zr55Al10Ni5Cu30 bulk metallic glasses. It has been reported that TTT diagram of the crystallization on heating of glassy solid was different from that on cooling of melt. In a Zr41Ti14Cu12Ni10Be23 alloy, the critical cooling rate of the melt for circumvent crystallization is about 1 K/s, and the critical heating rate from the amorphous state to the melt for prevention of the crystallization is about 200 K/s [15–17].",10.1016/S1359-6462(01)01003-X,Be23Cu12Ni10Ti14Zr41,1,K/s,0
"Materials properties measurements and particle beam interactions studies using electrostatic levitation. The measured critical cooling rates leading to glass formation, for the processed LS and Pt-LS glasses, were 14±2°C/min and 130±5°C/min, respectively. The same compositions processed with a crucible yielded to critical cooling rates of 62±3°C/min and 162±5°C/min, respectively.",10.1016/j.mser.2013.12.001,Li2O6Si2,1.033333333,K/s,0.014240439
"Utilization of high entropy alloy characteristics in Er-Gd-Y-Al-Co high entropy bulk metallic glass. With increasing annealing temperature (T/T x = 0.955) in Vit105, the average diameters of the crystalline phases increase up to 15 nm for 200 min annealing, which means that annealing temperature is a crucial factor to decide the resistance to crystal growth. In particular, the diameters of the crystalline phases in Zr41·2Ti13·8Cu12·5Ni10Be22.5 (Vit1, R c = 1.4 K/s) [55] are all 10.5 nm with single-modal distribution of the crystalline size at T/T x = 0.926 for 100 min annealing, but the crystalline sizes are 10.33 ± 1.55 nm, 19.51 ± 5.85 nm and 58.43 ± 7.78 nm at T/T x = 0.967 for 8 min annealing, suggesting the multi-modal distribution.",10.1016/j.actamat.2018.06.024,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1.4,K/s,0.146128036
"First principles modeling of the structural, electronic, and vibrational properties of Ni40Pd40P20 bulk metallic glass. Currently, a wide range of multi-component BMG alloys [5,11] exists; however, the industrial production of BMGs remains a difficult problem due to the requirement of high cooling rates to produce a metallic glass with a thickness on the macroscopic length scale. Ni40Pd40P20 was first prepared by Turnbull and co-workers, [12,13] who employed a critical cooling rate of about 1.4 K/s and the application of B2O3 fluxing method to purify the melt and avoid heterogeneous nucleation.",10.1016/j.nocx.2018.100004,Ni40P20Pd40,1.4,K/s,0.146128036
"Laser solid forming Zr-based bulk metallic glass. Fig. 7(b) shows that the average heating and cooling rates from Tg to Tm at point α shown in Fig. 7(a), which is at the center of the top center of the molten pool, were 4.3 × 10^(6) °C s^(-1) and 3.7 × 10^(4) °C s^(-1) respectively. While the critical cooling rate for the amorphous formation of Zr65Al7.5Ni10Cu17.5 is 1.5 °C s^(-1) [12].",10.1016/j.intermet.2011.10.008,Al7.5Cu17.5Ni10Zr65,1.5,K/s,0.176091259
"Electronic structure of Pd42.5Ni7.5Cu30P20, an excellent bulk metallic glass former: Comparison to the Pd40Ni40P20 reference glass. Although several thermodynamic and mechanical properties have been investigated in detail in Pd–Ni–Cu–P glassy alloys [2], only a few basic attempts have been made, from the viewpoints of their structural and electronic properties, to understand why they have such excellent GFA. Electrical conductivity (σ) measurements for the Pd42.5Ni7.5Cu30P20 metallic glass [5] showed that σ decreases by mainly exchanging Ni with Cu atoms from the Pd40Ni40P20 reference glass [6], which has a worse critical cooling rate of 1.6K/s [7], suggesting a decrease of electronic density of states (DOS) at the Fermi energy, N(E F).",10.1016/j.actamat.2007.01.041,Ni40P20Pd40,1.6,K/s,0.204119983
"Soft X-ray emission study of Pd–Ni–Cu–P bulk metallic glass. From this result, a selective formation of the Pd–P covalent bonds is suggested. Conduction-band DOS were also measured using in-house PES and inverse-photoemission spectroscopy (IPES) [4] on the Pd42.5Ni7.5Cu30P20 glass and the reference glass Pd40Ni40P20, which has a slightly worse critical-cooling-rate of 1.6K/s [5].",10.1016/j.elspec.2006.12.061,Ni40P20Pd40,1.6,K/s,0.204119983
"Formation of amorphous Zr41.2Ti13.8Ni10Cu12.5Be22.5 coatings via the ElectroSpark Deposition process. Fig. 7 presents a continuous cooling curve for the crystallization of Vitreloy^(®) 1 from a liquid state (bold curve). As can be observed, the critical cooling rate required to form a completely amorphous structure during solidification was 1.7K/s.",10.1016/j.intermet.2007.12.013,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1.7,K/s,0.230448921
"Kinetics of crystallization in continuously cooled BMG. Continuous cooling transformation (CCT) diagram of Zr41.2Ti13.8Cu12.5Ni10Be22.5 alloy has been calculated. The calculated critical cooling rates R c of the alloy is 1.7K/s, which is in good agreement with the experimental value.",10.1016/j.msea.2005.05.038,Be22.5Cu12.5Ni10Ti13.8Zr41.2,1.7,K/s,0.230448921
"Enthalpy relaxation and its relation to the thermodynamics and crystallization of the Zr58.5Cu15.6Ni12.8Al10.3Nb2.8 bulk metallic glass-forming alloy. It can be vitrified via conventional processing techniques such as arc melting without subsequent mold casting. It has a large supercooled liquid region and can be prepared with critical cooling rates as low as 1.75K/s, which correspond to a critical casting thicknesses of greater than 1.5cm.",10.1016/j.actamat.2006.09.040,Al10.3Cu15.6Nb2.8Ni12.8Zr58.5,1.75,K/s,0.243038049
"High temperature melt viscosity and fragile to strong transition in Zr–Cu–Ni–Al–Nb(Ti) and Cu47Ti34Zr11Ni8 bulk metallic glasses. It should be noted, however, that even when no shearing was applied the recalescence of Vitreloy 106a, for example, was still observed to occur after only ∼30s of undercooling at a rate of ∼3Ks^(-1). This is in contrast to the previously published data of Hays et al. [27] showing that the Vitreloy 106a alloy has a critical cooling rate of 1.75Ks^(-1), as measured using containerless electrostatic levitation (ESL).",10.1016/j.actamat.2012.05.019,Al10.3Cu15.6Nb2.8Ni12.8Zr58.5,1.75,K/s,0.243038049
"Spherulitic crystallization behavior of a metallic glass at high heating rates. The Zr58.5Cu15.6Ni12.8Al10.3Nb2.8 alloy investigated in the present study is an excellent glass former, as illustrated by its extended supercooled liquid region. The critical cooling rate required to achieve a fully amorphous structure has been shown to be ∼1.75 K/s for this alloy [5].",10.1016/j.intermet.2011.05.022,Al10.3Cu15.6Nb2.8Ni12.8Zr58.5,1.75,K/s,0.243038049
Enthalpy relaxation of the Zr58.5Cu15.6Ni12.8Al10.3Nb2.8 bulk metallic glass forming alloy. The recently processed Vitreloy 106a with composition Zr58.5Cu15.6Ni12.8Al10.3Nb2.8 is the best beryllium free Zr-based bulk metallic glass former known today. It is possible to produce centimeter scale amorphous ingots of this alloy with critical cooling rates of less than 10K/s (as low as 1.75K/s) [1].,10.1016/j.jallcom.2006.08.241,Al10.3Cu15.6Nb2.8Ni12.8Zr58.5,1.75,K/s,0.243038049
"Determination of forming ability of high pressure die casting for Zr-based metallic glass. As seen from the CCT curve in red color in Fig. 3b, the time to a given degree of crystallization is longer and temperature to that is lower for Zr55Y0.2 alloy during continuous cooling compared with that in the TTT curves (black line in Fig. 3b). The recalculated Rc is about 3.75K/s (Fig. 3b), which is close to that of 1.75K/s for Vitreloy 106a and 10K/s for Vitreloy 106 BMG (Evenson et al., 2010).",10.1016/j.jmatprotec.2017.01.015,Al10.3Cu15.6Nb2.8Ni12.8Zr58.5,1.75,K/s,0.243038049
"Isothermal crystallization kinetics of an industrial-grade Zr-based bulk metallic glass. The low critical cooling rates R c , which are the minimum cooling rates required to vitrify BMG formers, on the order of 1 K/s of Zr-based BMGs, position them as one of the best BMG formers [5]. For example, the famous Vitreloy T M family BMGs Vit 1 (Zr 41.2 Ti 13.8 Cu 12.5 Ni 10.0 Be 22.5 in at.%%) and Vit 106a (Zr 58.5 Cu 15.6 Ni 12.8 Al 10.3 Nb 2.8 in at.%%) have critical cooling rates of 1 K/s and 1.75 K/s, respectively [6–8].",10.1016/j.jnoncrysol.2021.121145,Al10.3Cu15.6Nb2.8Ni12.8Zr58.5,1.75,K/s,0.243038049
"Fatigue crack growth behavior of a Zr58.5Cu15.6Ni12.8Al10.3Nb2.8 bulk metallic glass-forming alloy. Zr58.5Cu15.6Ni12.8Al10.3Nb2.8 (Vitreloy 106a) 1 All compositions are given in terms of atomic percent. ^(1) is a promising Be-free metallic glass-forming alloy, with a critical cooling rate as low as 1.75Ks^(–1) [4].",10.1016/j.scriptamat.2010.10.042,Al10.3Cu15.6Nb2.8Ni12.8Zr58.5,1.75,K/s,0.243038049
"Synthesis of in situ bulk glass matrix composite in by Bridgman method. In situ BMG matrix composites with dendritic reinforcing phase were obtained in the La66Al14Cu10Ni10 and Pd42Cu30Ni10P18 alloys by a Bridgman technique. The critical cooling rates for in situ formation of the BMG matrix composites were measured to be 10–15 and 1.98K/s, respectively.",10.1016/j.msea.2003.10.206,Cu30Ni10P18Pd42,1.98,K/s,0.29666519
"Glass forming ability and in-situ composite formation in Pd-based bulk metallic glasses. Fig. 12(a) summarizes microstructure evolution and glass formation in the Pd42Cu30Ni10P18 and Pd40Cu30Ni10P20 alloys as a function of cooling rate (growth velocity) during Bridgman solidification. It shows that there is a large difference in critical cooling rate for full glass formation between these two alloys, i.e., 1.98 K/s for Pd40Cu30Ni10P20 and 250 K/s for Pd42Cu30Ni10P18, implying a large difference in glass forming ability between them.",10.1016/S1359-6454(02)00438-X,Cu30Ni10P20Pd40,1.98,K/s,0.29666519
"Nanosecond laser processing of Zr41.2Ti13.8Cu12.5Ni10Be22.5 with single pulses. One of the most studied BMG due to its superior glass forming ability was created in 1992 by Peker and Johnson (1993) and named Vitreloy 1, for which the composition is Zr41.2Ti13.8Cu12.5Ni10Be22.5. This type of metallic glass exhibits a critical cooling rate of ∼2K/s (Kim et al., 1996) and has a critical casting thickness of 3cm to 4cm (Johnson et al., 2011).",10.1016/j.jmatprotec.2016.01.023,Be22.5Cu12.5Ni10Ti13.8Zr41.2,2,K/s,0.301029996
"Electron-beam welding of Zr50Cu30Ni10Al10 bulk glassy alloys. More recently, several results on welding/joining have been reported for Zr–Al–Cu–Ni bulk glassy alloy and steels [2,3]. The welding between the Zr-based bulk glassy alloy and Zr metal has been reported [4] by using the Zr41Ti14Cu12Ni10Be23 [5] bulk glassy alloy with a critical cooling rate about 2K/s.",10.1016/j.msea.2003.10.225,Be23Cu12Ni10Ti14Zr41,2,K/s,0.301029996
"Optimum glass formation at off-eutectic composition and its relation to skewed eutectic coupled zone in the La based La–Al–(Cu,Ni) pseudo ternary system. With a further increase in Al content, the limiting diameter dropped sharply to 1 or 2 mm (Fig. 2b). We have also noticed similar results for Pd based Pd–Cu–Ni–P alloys, where the critical cooling rate for glass formation increased sharply from ~2 K/s for the Pd40Cu30Ni10P20 alloy to 250 K/s for the Pd42Cu30Ni10P18 alloy with only a 2 at% difference in P content [23].",10.1016/S1359-6454(03)00291-X,Cu30Ni10P20Pd40,2,K/s,0.301029996
"Materials properties measurements and particle beam interactions studies using electrostatic levitation. The experiments were carried out with spherical, 2.5–3mm diameter, glass samples. The measured critical cooling rates leading to glass formation, for the processed LS and Pt-LS glasses, were 14±2°C/min and 130±5°C/min, respectively.",10.1016/j.mser.2013.12.001,Li2O2Si2O4Pt,2.166666667,K/s,0.335792102
"On the high glass-forming ability of Pt-Cu-Ni/Co-P-based liquids. In the case of Pt42.5Cu27Ni9.5P21 the suppression of the primary phase at higher cooling rates leads to a distinct increase in the achievable undercooling. As stated earlier, approximately 75% of the sample is amorphous when cooled from 973 K with 3 K/s (cf. Fig. 2), which is in good agreement with the estimated critical cooling rate of ∼2.5 K/s using Eq. (1).",10.1016/j.actamat.2017.09.013,Cu27Ni9.5P21Pt42.5,2.5,K/s,0.397940009
