Material composition,Material composition site,Abbreviated name,Electrolyte class,Is well studied? (>4 materials),Log ASR (Ohm-cm2) at T=773 K,Log ASR (Ohm-cm2) at T=873 K,Log ASR (Ohm-cm2) at T=973 K,Log ASR (Ohm-cm2) at T=1073 K,ML pred ASR barrier (eV)
Ba0.6Sr0.4Co0.9Nb0.1O3,[Ba0.6Sr0.4][Co0.9Nb0.1],BSCN641,ceria,0,-0.171133375,-1.030068905,-1.712450369,-2.267640507,1.131582707
Ba0.5Sr0.5Cu0.2Fe0.8O3,[Ba0.5Sr0.5][Cu0.2Fe0.8],BSCuF,ceria,0,0.813146341,-0.033505127,-0.706127517,-1.253377606,1.135143627
Ba0.5Sr0.5Cu0.4Fe0.6O3,[Ba0.5Sr0.5][Cu0.4Fe0.6],BSCuF5546,ceria,0,0.760015343,-0.102943877,-0.788521963,-1.346312894,1.160439158
Ba0.5Sr0.5Co0.1Zn0.1Fe0.8O3,[Ba0.5Sr0.5][Co0.1Zn0.1Fe0.8],BSCZnF,ceria,0,0.882140259,0.012837225,-0.677780705,-1.239672087,1.15255035
Ba0.5Sr0.5FeO3,[Ba0.5Sr0.5][Fe],BSF,ceria,0,0.912018412,0.026505395,-0.676990558,-1.249359585,1.226283336
Ba0.5Sr0.5Fe0.8Cu0.1Ti0.1O3,[Ba0.5Sr0.5][Fe0.8Cu0.1Ti0.1],BSFCuT,ceria,0,0.029383778,-0.868437783,-1.581712259,-2.16203716,1.183841803
Ba0.5Sr0.5Fe0.9Mo0.1O3,[Ba0.5Sr0.5][Fe0.9Mo0.1],BSFMo10,perovskite,0,0.808604262,-0.101849435,-0.825159516,-1.413649451,1.169644465
Ba0.5Sr0.5Fe0.9Nb0.1O3,[Ba0.5Sr0.5][Fe0.9Nb0.1],BSFN,ceria,0,0.305408186,-0.538699871,-1.209301646,-1.754907751,1.138237765
Ba0.5Sr0.5Fe0.9Sb0.1O3,[Ba0.5Sr0.5][Fe0.9Sb0.1],BSFSb10,ceria,0,0.325720861,-0.356225945,-0.89799869,-1.338788631,0.962642007
Ba0.5Sr0.5Fe0.8Zn0.2O3,[Ba0.5Sr0.5][Fe0.8Zn0.2],BSFZn,ceria,0,0.860572906,0.025305865,-0.638272164,-1.178163701,1.088467182
Ba0.4Sr0.4La0.2FeO3,[Ba0.4Sr0.4La0.2][Fe],BSLF,ceria,0,2.121222126,1.175511813,0.424192109,-0.187086643,1.186201622
Ba0.4Sr0.4La0.2Fe0.9Mn0.1O3,[Ba0.4Sr0.4La0.2][Fe0.9Mn0.1],BSLFM10,ceria,0,1.826243342,1.086715664,0.499197786,0.021189299,1.005696284
Ba0.4Sr0.4La0.2Fe0.9Mn0.2O3,[Ba0.4Sr0.4La0.2][Fe0.9Mn0.2],BSLFM20,ceria,0,1.239272694,0.649334859,0.180658654,-0.200659451,0.908141197
Ba0.95Sm0.05FeO3,[Ba0.95Sm0.05][Fe],BSmF05,ceria,0,0.544068044,-0.252902932,-0.886056648,-1.401194759,1.08297476
Ba0.5Sr0.5Zn0.2Fe0.8O3,[Ba0.5Sr0.5][Zn0.2Fe0.8],BSZnF,ceria,0,0.900451095,0.130333768,-0.48148606,-0.979266778,1.088467182
CaMn0.9Nb0.1O3,[Ca][Mn0.9Nb0.1],CaMN91,zirconia,0,1.358913121,1.014211191,0.740362689,0.517557711,0.638959926
CaMnO3,[Ca][Mn],CaMO,zirconia,0,1.250058867,0.856628701,0.544068044,0.289766597,0.755204718
GdBaCo2O5,[GdBa][Co2],GBCO,zirconia,0,1.245046156,0.7268267,0.315127174,-0.019834323,0.846884335
GdBaCo2O5,[GdBa][Co2],GBCO,ceria,1,0.752713812,-0.16318989,-0.890829727,-1.482842381,1.141465441
GdBaFe2O5,[GdBa][Fe2],GBFO,ceria,0,1.279533211,0.174654106,-0.703117269,-1.417277949,1.46819733
GdBaMnFeO5,[GdBa][MnFe],GBMF,ceria,0,1.397940009,-0.042627536,-1.187086643,-2.118226253,1.721457247
Gd0.5Ba0.5Mn0.5Fe0.5O3,[Gd0.5Ba0.5][Mn0.5Fe0.5],GBMF5555,ceria,0,1.602059991,0.844712712,0.243038049,-0.246488495,1.121175013
GdBa0.5Sr0.5Co2O5,[GdBa0.5Sr0.5][Co2],GBSC,ceria,0,0.421714724,-0.467636716,-1.174182104,-1.749032173,1.157943029
GdBa0.5Sr0.5CoFeO5,[GdBa0.5Sr0.5][CoFe],GBSCF,ceria,0,-0.086858896,-1.020500829,-1.762232806,-2.36571092,1.152778492
Gd0.5Sr0.5CoO3,[Gd0.5Sr0.5][Co],GSC55,ceria,0,1.5910206,0.522953745,-0.325572131,-1.015938479,1.393050036
Gd0.8Sr0.2CoO3,[Gd0.8Sr0.2][Co],GSC82,ceria,0,1.255272505,0.096599336,-0.823908741,-1.57284029,1.580748636
La0.5Ba0.5CoO3,[La0.5Ba0.5][Co],LBC50,perovskite,0,0.182306324,-0.494850022,-1.032816985,-1.470510517,0.984945332
La0.4Ba0.6CoO3,[La0.4Ba0.6][Co],LBC60,ceria,0,0.096085902,-0.736495548,-1.397940009,-1.936095661,1.101147707
La0.1Ba0.9Co0.4Fe0.6O3,[La0.1Ba0.9][Co0.4Fe0.6],LBCF1946,ceria,0,1.395553617,0.554892,-0.112971751,-0.656350181,1.140249113
La0.3Ba0.7Co0.6Fe0.4O3,[La0.3Ba0.7][Co0.6Fe0.4],LBCF3764,ceria,0,0.710378697,-0.112772423,-0.766724958,-1.298785128,1.104760737
La0.6Ba0.4Co0.2Fe0.8O3,[La0.6Ba0.4][Co0.2Fe0.8],LBCF6428,ceria,0,0.431363764,-0.40172661,-1.063575386,-1.602059991,1.114760036
LaBaCo2O5,[LaBa][Co2],LBCO,ceria,0,1.208102749,0.096261996,-0.787040062,-1.505700543,1.308599836
LaBaCo2O5,[LaBa][Co2],LBCO,perovskite,0,-0.086856005,-0.823908741,-1.409460401,-1.88586916,1.081673946
LaBaFe2O5,[LaBa][Fe2],LBFO,ceria,0,1.916757168,0.84509804,-0.006281719,-0.698970004,1.38989525
La0.4Ba0.6Fe0.8Zn0.2O3,[La0.4Ba0.6][Fe0.8Zn0.2],LBFZn4682,ceria,0,2.352078236,1.192712935,0.271654992,-0.47772393,1.354391939
La0.4Bi0.4Sr0.2FeO3,[La0.4Bi0.4Sr0.2][Fe],LBiSF,ceria,0,1.342422681,0.168513391,-0.764099025,-1.522878745,1.499819378
La0.7Ca0.3CrO3,[La0.7Ca0.3][Cr],LCaCr22,zirconia,0,3.0485401,2.127046737,1.394966193,0.799340549,1.272157649
La0.6Ca0.4Fe0.8Ni0.2O3,[La0.6Ca0.4][Fe0.8Ni0.2],LCaFN6482,ceria,0,1.704106029,0.505108784,-0.447434762,-1.222430583,1.584427927
La0.6Ca0.4Fe0.8Ni0.2O3,[La0.6Ca0.4][Fe0.8Ni0.2],LCaFN6482,zirconia,0,1.825831211,0.62838893,-0.322919274,-1.096910013,1.59633682
LaCo0.4Ni0.4Cu0.2O3,[La][Co0.4Ni0.4Cu0.2],LCNCu,ceria,0,1.316988261,0.495355507,-0.15739076,-0.688469504,1.15975428
LaCoO3,[La][Co],LCO,zirconia,0,3.057503234,1.6,0.442086331,-0.5,1.842493593
LaCrO3,[La][Cr],LCrO,zirconia,0,3.905297753,2.98380439,2.251723845,1.656098202,1.284683083
LaFe0.5Ni0.5O3,[La][Fe0.5Ni0.5],LFN55,ceria,0,2.30901603,1,-0.039947987,-0.886056648,1.699589894
LaNi0.2Fe0.8O3,[La][Ni0.2Fe0.8],LFN82,ceria,0,3.392337622,1.977723605,0.853883281,-0.060480747,1.807441691
LaFeO3,[La][Fe],LFO,mixed,0,3.183306839,2.301029996,1.600105021,1.029827759,1.417809609
LaFeO3,[La][Fe],LFO,ceria,0,3.087068323,1.698970004,0.596195081,-0.301029996,1.703000893
LaMnO3,[La][Mn],LMO,zirconia,0,5.604791352,4.355830475,3.363593313,2.556302501,1.566071408
LaNi0.6Fe0.4O3,[La][Ni0.6Fe0.4],LNF64,zirconia,0,3.725395483,2.866343581,2.183869665,1.628604307,1.237655016
LaNi0.6Fe0.4O3,[La][Ni0.6Fe0.4],LNF64,ceria,0,2.735665896,1.809534286,1.073768886,0.475145219,1.272011527
La0.6Sr0.4CoO3,[La0.6Sr0.4][Co],LSC64,ceria,0,1.345607467,0.275035248,-0.575481016,-1.267466756,1.339236847
La0.6Sr0.4CoO3,[La0.6Sr0.4][Co],LSC64,perovskite,0,1.840943487,0.944633699,0.23256025,-0.346787486,1.188486115
La0.6Sr0.4CoO3,[La0.6Sr0.4][Co],LSC64,zirconia,0,0.999802306,0.45201738,0.016829561,-0.337242168,0.917826656
La0.8Sr0.2CoO3,[La0.8Sr0.2][Co],LSC82,ceria,1,2.036082394,0.847102386,-0.097482964,-0.866003943,1.662637709
La0.8Sr0.2CoO3,[La0.8Sr0.2][Co],LSC82,zirconia,0,3.5,2.047552992,0.893656242,-0.045161896,1.869007513
La0.8Sr0.2CoO3,[La0.8Sr0.2][Co],LSC82,perovskite,0,3.193188995,1.938342237,0.941429037,0.130333768,1.718816633
La0.5Sr0.5Co0.8Fe0.2O3,[La0.5Sr0.5][Co0.8Fe0.2],LSCF5582,perovskite,0,2.001295712,0.922156829,0.064834778,-0.632688196,1.402697315
La0.6Sr0.4Co0.2Fe0.8O3,[La0.6Sr0.4][Co0.2Fe0.8],LSCF6428,ceria,1,1.15254497,0.063392853,-0.801884214,-1.505879442,1.411684135
La0.6Sr0.4Co0.2Fe0.8O3,[La0.6Sr0.4][Co0.2Fe0.8],LSCF6428,mixed,0,1.746517727,0.541866177,-0.415169432,-1.193820026,1.472107191
La0.6Sr0.4Co0.2Fe0.8O3,[La0.6Sr0.4][Co0.2Fe0.8],LSCF6428,perovskite,1,1.356288996,0.383619986,-0.389117058,-1.017821103,1.339201426
La0.7Sr0.3Co0.8Fe0.2O3,[La0.7Sr0.3][Co0.8Fe0.2],LSCF7382,ceria,0,2.330877749,1.141375334,0.196374957,-0.572483691,1.512807809
La0.4Sr0.6Co0.2Fe0.7Nb0.1O3,[La0.4Sr0.6][Co0.2Fe0.7Nb0.1],LSCFN,perovskite,0,0.643198458,0.165119192,-0.214690955,-0.523707039,0.669570377
La0.8Sr0.2Co0.4Mn0.6O3,[La0.8Sr0.2][Co0.4Mn0.6],LSCM8246,zirconia,0,1.8,0.523539519,-0.490544707,-1.315610438,1.668305788
La0.8Sr0.2Co0.4Mn0.6O3,[La0.8Sr0.2][Co0.4Mn0.6],LSCM8246,ceria,0,1.2,0.024312715,-0.90971223,-1.669641193,1.596739737
La0.1Sr0.9Co0.85Nb0.15O3,[La0.1Sr0.9][Co0.85Nb0.15],LSCN,ceria,0,-0.086858896,-0.716113295,-1.216024549,-1.6227557,0.916965728
La0.8Sr0.2Co0.8Ni0.2O3,[La0.8Sr0.2][Co0.8Ni0.2],LSCN8282,ceria,0,3.031435964,1.509278351,0.3,-0.68387698,1.912070749
La0.3Sr0.7Cr0.3Fe0.7O3,[La0.3Sr0.7][Cr0.3Fe0.7],LSCrF3737,perovskite,0,1.249199551,0.327706188,-0.404374357,-1,1.172822544
La0.75Sr0.25Cr0.5Mn0.5O3,[La0.75Sr0.25][Cr0.5Mn0.5],LSCrM8255,zirconia,0,1.55541003,0.781702984,0.167031302,-0.333069703,1.110784195
La0.7Sr0.3CuO3,[La0.7Sr0.3][Cu],LSCu73,ceria,0,2.825776197,1.75,0.895349435,0.2,1.346747936
La0.6Sr0.4Cu0.2Fe0.8O3,[La0.6Sr0.4][Cu0.2Fe0.8],LSCuF6428,ceria,0,0.050259178,-0.061222993,-0.149790021,-0.22184875,0.625828856
La0.7Sr0.3Cu0.4Fe0.6O3,[La0.7Sr0.3][Cu0.4Fe0.6],LSCuF7346,ceria,0,2.55339586,1.2,0.12479445,-0.75,1.520689833
La0.8Sr0.2Cu0.2Fe0.8O3,[La0.8Sr0.2][Cu0.2Fe0.8],LSCuF8228,perovskite,0,1.846838642,0.698970004,-0.212954412,-0.954902236,1.592286505
La0.8Sr0.2FeO3,[La0.8Sr0.2][Fe],LSF20,zirconia,0,3.291223787,2.105278969,1.163104924,0.3965458,1.61775047
La0.5Sr0.5FeO3,[La0.5Sr0.5][Fe],LSF50,ceria,0,1.503447888,0.61723973,-0.086808477,-0.659626823,1.248987689
La0.6Sr0.4FeO3,[La0.6Sr0.4][Fe],LSF64,zirconia,0,1.835992544,0.995839399,0.328379603,-0.214670165,1.205716716
La0.6Sr0.4FeO3,[La0.6Sr0.4][Fe],LSF64,ceria,0,1.624989893,0.477121255,-0.434803162,-1.176750986,1.403081695
La0.5Sr0.5Fe0.8Cu0.2O3,[La0.5Sr0.5][Fe0.8Cu0.2],LSFCu,ceria,0,1.663371567,0.414973348,-0.57681681,-1.383743937,1.493131595
La0.5Sr0.5Fe0.9Nb0.1O3,[La0.5Sr0.5][Fe0.9Nb0.1],LSFN10,ceria,0,0.313083855,-0.315775513,-0.815372935,-1.22184875,0.899788697
La0.85Sr0.15MnO3,[La0.85Sr0.15][Mn],LSM15,zirconia,0,5.05523458,3.966545357,3.101636036,2.397940009,1.511687399
La0.85Sr0.15MnO3,[La0.85Sr0.15[Mn],LSM15,ceria,0,3.059600893,1.929418926,1.031545687,0.301029996,1.504089874
La0.8Sr0.2MnO3,[La0.8Sr0.2][Mn],LSM20,zirconia,1,3.447239265,2.222286818,1.249123157,0.457350673,1.564998886
La0.8Sr0.2MnO3,[La0.8Sr0.2][Mn],LSM20,ceria,1,3.169900812,2.017817143,1.102544095,0.357871801,1.53234261
La0.8Sr0.2MnO3,[La0.8Sr0.2][Mn],LSM20,mixed,0,3.71791326,2.698970004,1.889470378,1.23085605,1.409104157
La0.7Sr0.3MnO3,[La0.7Sr0.3][Mn],LSM35,ceria,0,2.665433223,1.858097185,1.216708946,0.694871171,1.181215032
La0.8Sr0.2Mn0.8Cu0.2O3,[La0.8Sr0.2][Mn0.8Cu0.2],LSMCu,zirconia,0,2.599411041,1.677917678,0.945837134,0.35021149,1.272467873
La0.7Sr0.3Mn0.9Mg0.1O3,[La0.7Sr0.3][Mn0.9Mg0.1],LSMMg10,ceria,0,2.448285982,1.640949944,0.999561705,0.47772393,1.097459292
La0.7Sr0.3Mn0.8Mg0.2O3,[La0.7Sr0.3][Mn0.8Mg0.2],LSMMg20,ceria,0,1.880135536,1.136536554,0.545784228,0.065144172,1.040729834
La0.8Sr0.2Mn0.9Sc0.1O3,[La0.8Sr0.2][Mn0.9Sc0.1],LSMSc,zirconia,0,1.308367002,0.681241237,0.183021077,-0.222334188,0.981882948
La0.8Sr0.2Sc0.2Mn0.8O3,[La0.8Sr0.2][Sc0.2Mn0.8],LSMSc20,zirconia,0,1.95591234,0.9633355,0.174782676,-0.466789192,1.234070965
La0.4Sr0.6Ni0.2Fe0.8O3,[La0.4Sr0.6][Ni0.2Fe0.8],LSNF4628,ceria,0,1.536644884,0.544068044,-0.244484779,-0.886056648,1.272987239
La0.3Sr0.7Ti0.3Fe0.7O3,[La0.3Sr0.7][Ti0.3Fe0.7],LSTF,ceria,0,1.041407885,0.222004941,-0.428969854,-0.958607315,1.125868605
NdBa0.75Ca0.25Co2O5,[NdBa0.75Ca0.25][Co2],NBCaCO,ceria,0,-0.434294482,-1.260797176,-1.917412369,-2.451638896,1.088194803
NdBa0.5Sr0.5Co1.5Fe0.5O5,[NdBa0.5Sr0.5][Co1.5Fe0.5],NBCF1.5,ceria,0,-0.10857362,-0.873853893,-1.481830924,-1.976485115,1.058552124
NdBaCoMnO5,[NdBa][CoMn],NBCM,ceria,0,1.454179723,0.44870632,-0.35009218,-1,1.333712959
NdBaCo1.5Mn0.5O5,[NdBa][Co1.5Mn0.5],NBCM1.5,ceria,0,1.114435097,0.184691431,-0.553943568,-1.15490196,1.270938248
NdBaCo2O5,[NdBa][Co2],NBCO,ceria,1,0.543407248,-0.414766152,-1.175987156,-1.795321673,1.201840841
NdBaCu2O5,[NdBa][Cu2],NBCuO,ceria,0,1.640105084,0.935003151,0.374834812,-0.080921908,0.803977637
NdBaFe2O5,[NdBa][Fe2],NBFO,ceria,0,1.487287075,0.439332694,-0.393214826,-1.070581074,1.367965398
NdBaMnO5,[NdBa][Mn],NBMO,ceria,0,2.050894091,0.924279286,0.02923998,-0.698970004,1.420594931
NdBa0.5Sr0.5Co1.5Mn0.5O5,[NdBa0.5Sr0.5][Co1.5Mn0.5],NBSCMO,ceria,0,0.10857362,-0.76384589,-1.456939705,-2.020845484,1.150244674
NdBa0.5Sr0.5Co2O5,[NdBa0.5Sr0.5][Co2],NBSCO,ceria,0,0.838922676,-0.038595652,-0.735740223,-1.302941724,1.15620234
NdBa0.5Sr0.5Cu2O5,[NdBa0.5Sr0.5][Cu2],NBSCuO,ceria,0,-0.562331676,-0.688246139,-0.788278903,-0.869666232,0.372875529
NdCoO3,[Nd][Co],NCO,ceria,0,3.045181113,1.9,0.990210689,0.25,1.588329381
Nd0.5Sr0.5CoO3,[Nd0.5Sr0.5][Co],NSC55,ceria,0,0.690507762,-0.125,-0.772880267,-1.3,1.155171744
Nd0.5Sr0.5Co0.5Fe0.5O3,[Nd0.5Sr0.5][Co0.5Fe0.5],NSCF,ceria,0,0.162860431,-0.744718029,-1.465743876,-2.052375344,1.157831124
NdSrCo2O5,[NdSr][Co2],NSCO,ceria,0,0.347435586,-0.548041828,-1.259453998,-1.838263712,1.208222916
Nd0.5Sr0.5Fe0.8Cu0.2O3,[Nd0.5Sr0.5][Fe0.8Cu0.2],NSFCu,ceria,0,1.018943256,0,-0.809499627,-1.468113955,1.283518741
PrBa0.8Ca0.2Co1.5Fe0.5O5,[PrBa0.8Ca0.2][Co1.5Fe0.5],PBCCFO,ceria,0,-0.217147241,-1.040018378,-1.693748479,-2.225627677,1.109924289
PrBa0.8Ca0.2Co2O5,[PrBa0.8Ca0.2][Co2],PBCCO,ceria,0,0.217147241,-0.65412808,-1.346312894,-1.909479103,1.144880151
PrBaCo1.5Fe0.5O5,[PrBa][Co1.5Fe0.5],PBCF1.5,perovskite,0,1.301029996,0.071934921,-0.90451985,-1.698970004,1.436959497
PrBaCo2O5,[PrBa][Co2],PBCO,mixed,0,-0.632114501,-1,-1.292266691,-1.530056832,0.671109998
PrBaCo2O5,[PrBa][Co2],PBCO,ceria,1,0.027018131,-0.702890532,-1.282766581,-1.754557626,0.969633013
PrBaCo2O5,[PrBa][Co2],PBCO,perovskite,0,0.477121255,-0.247908634,-0.823908741,-1.292546293,0.89855756
PrBaCo1.9Sc0.1O5,[PrBa][Co1.9Sc0.1],PBCSc,ceria,0,-0.282249276,-1.085736205,-1.724066519,-2.243416346,1.127359617
PrBaFe2O5,[PrBa][Fe2],PBFO,ceria,0,1.092911274,0.191107198,-0.52533119,-1.10823027,1.270208864
PrBa(Fe0.8Sc0.2)2O5,[PrBa][(Fe0.8Sc0.2)2],PBFSc,perovskite,0,0.841633574,-0.036212173,-0.733616861,-1.301029996,1.221324889
PrBaMn1.5Fe0.5O5,[PrBa][Mn1.5Fe0.5],PBMF1.5,perovskite,0,1.980083461,0.882479655,0.010488142,-0.698970004,1.424800022
PrBaMn2O5,[PrBa[Mn2],PBMO,perovskite,0,2.032360582,0.985483225,0.153791347,-0.522878745,1.380032571
PrBa0.5Sr0.25Ca0.5Co2O5,[PrBa0.5Sr0.25Ca0.5][Co2],PBSCaCO,ceria,0,-0.347435586,-1.112715858,-1.720692889,-2.21534708,1.058185274
PrBa0.5Sr0.5CoCuO5,[PrBa0.5Sr0.5][CoCu],PBSCCuO,ceria,0,0.173717793,-0.897674589,-1.748842432,-2.4413583,1.290510594
PrBa0.5Sr0.5CoFeO5,[PrBa0.5Sr0.5][CoFe],PBSCFO,ceria,0,-0.173717793,-0.972386837,-1.606889583,-2.123125275,1.092458885
PrBa0.5Sr0.5Co2O5,[PrBa0.5Sr0.5][Co2],PBSCO,ceria,1,0.116196845,-0.737408195,-1.415554852,-1.967299522,1.132219652
PrBa0.5Sr0.5Co2O5,[PrBa0.5Sr0.5][Co2],PBSCO,perovskite,0,0.423978249,-0.392392634,-1.040958608,-1.568636236,1.093836443
Pr0.8Ca0.2BaCo2O5,[Pr0.8Ca0.2Ba][Co2],PCBCO,ceria,0,0.29024927,-0.485026728,-1.100944863,-1.602059991,1.0794669
PrNi0.6Co0.4O3,[Pr][Ni0.6Co0.4],PNC64,ceria,0,0.77815125,0.053121362,-0.522878745,-0.991516297,1.108407132
Pr0.3Sr0.7CoO3,[Pr0.3Sr0.7][Co],PSC37,ceria,0,1.395181113,0.25,-0.659789311,-1.4,1.444923726
Pr0.5Sr0.5CoO3,[Pr0.5Sr0.5][Co],PSC55,ceria,0,0.977359566,-0.171246837,-1.083757371,-1.826182064,1.409546202
Pr0.8Sr0.2CoO3,[Pr0.8Sr0.2][Co],PSC82,ceria,0,1.740362689,0.233181788,-0.964198311,-1.938394795,1.864283483
Pr0.3Sr0.7Co0.3Fe0.7O3,[Pr0.3Sr0.7][Co0.3Fe0.7],PSCF3737,ceria,0,1.34702458,0.370167526,-0.405896711,-1.037307782,1.245655789
Pr0.4Sr0.6Co0.2Fe0.8O3,[Pr0.4Sr0.6][Co0.2Fe0.8],PSCF4628,perovskite,0,-1.040980683,-1.303974558,-1.512910083,-1.682901428,0.62483346
Pr0.6Sr0.4Co0.2Fe0.8O3,[Pr0.6Sr0.4][Co0.2Fe0.8],PSCF6428,ceria,0,1.602059991,0.75333701,0.079068907,-0.469520147,1.186089227
Pr0.4Sr0.6Co0.16Fe0.64Mo0.2O3,[Pr0.4Sr0.6][Co0.16Fe0.64Mo0.2],PSCFM20,perovskite,0,-0.015157866,-0.580768301,-1.030117598,-1.395711201,0.739912829
Pr0.4Sr0.6Co0.2Fe0.7Nb0.1O3,[Pr0.4Sr0.6][Co0.2Fe0.7Nb0.1],PSCFN10,perovskite,0,0.078106352,-0.240260555,-0.493187194,-0.698970004,0.563673724
Pr0.6Sr0.4Co0.18Fe0.72Sc0.1O3,[Pr0.6Sr0.4][Co0.18Fe0.72Sc0.1],PSCFSc10,ceria,0,1.278753601,0.657912864,0.164685844,-0.236606969,0.921591106
PrSrCo2O5,[PrSr][Co2],PSCO,ceria,0,0.260576689,-0.688370849,-1.442262367,-2.055633565,1.249820546
Pr0.8Sr0.2FeO3,[Pr0.8Sr0.2][Fe],PSF20,zirconia,0,3.138720971,1.861178126,0.846234015,0.020468676,1.689864333
Pr0.5Sr0.5Fe0.8Cu0.2O3,[Pr0.5Sr0.5][Fe0.8Cu0.2],PSFCu,mixed,0,0.442909317,-0.453361893,-1.165404694,-1.744727495,1.270890522
Pr0.5Sr0.5Fe0.8Cu0.2O3,[Pr0.5Sr0.5][Fe0.8Cu0.2],PSFCu,ceria,0,1.233416189,0.113943352,-0.775422016,-1.499015647,1.400766339
