formula,c,mn,si,cr,ni,mo,v,n,nb,co,w,al,ti,yield strength,tensile strength,elongation,composition,MagpieData mean Number,MagpieData mean MendeleevNumber,MagpieData mean AtomicWeight,MagpieData mean MeltingT,MagpieData mean Column,MagpieData mean Row,MagpieData mean CovalentRadius,MagpieData mean Electronegativity
Fe0.672C0.00473Mn0.00527Si0.00647Cr0.131Ni0.0000968Mo0.0373V0.000111N0.00162Nb0.0000611Co0.141Al0.000631,0.1,0.51,0.32,12.0,0.01,6.3,0.01,0.04,0.01,14.6,0.0,0.03,0.0,1155.0,1848.0,13.4,Fe0.672 C0.00473 Mn0.00527 Si0.00647 Cr0.131 Ni9.68e-05 Mo0.0373 V0.000111 N0.00162 Nb6.11e-05 Co0.141 Al0.000631,26.260008723471064,54.74182584468762,56.79652838686525,1897.6022640736448,7.880536932343314,4.0175550108023685,132.4253674859658,1.8312644044491502
Fe0.672C0.00564Mn0.000103Si0.000201Cr0.156Ni0.0000962Mo0.0294V0.00454N0.00121Nb0.0000608Co0.129Al0.00105,0.12,0.01,0.01,14.4,0.01,4.99,0.41,0.03,0.01,13.45,0.0,0.05,0.0,1322.9,1984.3,16.0,Fe0.672 C0.00564 Mn0.000103 Si0.000201 Cr0.156 Ni9.62e-05 Mo0.0294 V0.00454 N0.00121 Nb6.08e-05 Co0.129 Al0.00105,26.123015387756045,54.44280532091933,56.46920202486439,1904.975929774913,7.79310838275955,4.0145199494446615,132.65707529563164,1.8239926428573576
Fe0.673C0.000475Mn0.000104Si0.000203Cr0.000110Ni0.144Mo0.0149V0.000112Nb0.0000614Co0.145Al0.000635Ti0.0215,0.01,0.01,0.01,0.01,14.8,2.5,0.01,0.0,0.01,15.0,0.0,0.03,1.8,1571.2,1701.7,10.6,Fe0.673 C0.000475 Mn0.000104 Si0.000203 Cr0.00011 Ni0.144 Mo0.0149 V0.000112 Nb6.14e-05 Co0.145 Al0.000635 Ti0.0215,26.565413232511453,55.99047835597305,57.085443739871515,1812.257210826033,8.32356631394208,4.013172077523416,130.87587966168198,1.8475824027267664
Fe0.673C0.000475Mn0.000104Si0.000203Cr0.000110Ni0.180Mo0.0286V0.00482Nb0.0000614Co0.0842Al0.0201Ti0.00858,0.01,0.01,0.01,0.01,18.5,4.8,0.43,0.0,0.01,8.7,0.0,0.95,0.72,1288.4,1453.8,20.0,Fe0.673 C0.000475 Mn0.000104 Si0.000203 Cr0.00011 Ni0.18 Mo0.0286 V0.00482 Nb6.14e-05 Co0.0842 Al0.0201 Ti0.00858,26.58023396871232,56.41835638849116,57.06777687861096,1809.7392110839114,8.442167754690962,4.007406523187024,130.77726963987325,1.8504628827055227
Fe0.673C0.000908Mn0.0000992Si0.0361Cr0.167Ni0.0372Mo0.000114V0.000107Nb0.0000587Co0.0851Al0.000404Ti0.000569,0.02,0.01,1.86,15.9,4.0,0.02,0.01,0.0,0.01,9.2,0.0,0.02,0.05,1143.7,1350.4,17.0,Fe0.673 C0.000908 Mn9.92e-05 Si0.0361 Cr0.167 Ni0.0372 Mo0.000114 V0.000107 Nb5.87e-05 Co0.0851 Al0.000404 Ti0.000569,25.369312490687395,55.324705526822854,54.51988816956131,1863.1013091261077,8.046437056186623,3.9618778568022965,131.5709509294816,1.8117548529725238
Fe0.674C0.00752Mn0.000103Si0.000201Cr0.156Ni0.0000961Mo0.0303V0.000111N0.00121Nb0.0000607Co0.129Al0.00146,0.16,0.01,0.01,14.36,0.01,5.15,0.01,0.03,0.01,13.45,0.0,0.07,0.0,1460.7,2067.0,12.0,Fe0.674 C0.00752 Mn0.000103 Si0.000201 Cr0.156 Ni9.61e-05 Mo0.0303 V0.000111 N0.00121 Nb6.07e-05 Co0.129 Al0.00146,26.107678045496787,54.527325211301935,56.43230401960858,1907.6558663674582,7.81808134257303,4.011239005429465,132.47358533242644,1.8264432768054935
Fe0.674C0.00925Mn0.00516Si0.0101Cr0.135Ni0.00975Mo0.0115V0.000109Nb0.0000598Co0.145Al0.000618,0.2,0.51,0.51,12.59,1.03,1.98,0.01,0.0,0.01,15.4,0.0,0.03,0.0,1300.3,1741.5,17.9,Fe0.674 C0.00925 Mn0.00516 Si0.0101 Cr0.135 Ni0.00975 Mo0.0115 V0.000109 Nb5.98e-05 Co0.145 Al0.000618,25.75980733734793,55.0559540043504,55.55576538556595,1881.615903883756,7.98503178462017,3.982351450227015,131.55366865397997,1.8246286230689057
Fe0.674C0.0112Mn0.000102Si0.000199Cr0.0957Ni0.0829Mo0.00874V0.00307Nb0.0000602Co0.123Al0.000622Ti0.000234,0.24,0.01,0.01,8.9,8.7,1.5,0.28,0.0,0.01,13.0,0.0,0.03,0.02,1309.1,1757.0,14.3,Fe0.674 C0.0112 Mn0.000102 Si0.000199 Cr0.0957 Ni0.0829 Mo0.00874 V0.00307 Nb6.02e-05 Co0.123 Al0.000622 Ti0.000234,25.993419862952315,55.47953026282942,55.914054262751804,1866.799246249752,8.141019768215948,3.9855767076550834,130.89623066865957,1.836615167100875
Fe0.675C0.00705Mn0.000103Si0.000201Cr0.157Ni0.0000962Mo0.0294V0.000111Nb0.0000608Co0.129Al0.00105,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,1338.0,1792.7,14.1,Fe0.675 C0.00705 Mn0.000103 Si0.000201 Cr0.157 Ni9.62e-05 Mo0.0294 V0.000111 Nb6.08e-05 Co0.129 Al0.00105,26.129126229140645,54.47491852439064,56.476037992405956,1908.6742337889564,7.804348435348005,4.014122906056821,132.56598223151084,1.8242584138080142
Fe0.676C0.000475Mn0.000104Si0.000203Cr0.000110Ni0.180Mo0.0279V0.000112Nb0.0000614Co0.0852Al0.0216Ti0.00846,0.01,0.01,0.01,0.01,18.5,4.7,0.01,0.0,0.01,8.8,0.0,1.02,0.71,1309.1,1495.1,19.0,Fe0.676 C0.000475 Mn0.000104 Si0.000203 Cr0.00011 Ni0.18 Mo0.0279 V0.000112 Nb6.14e-05 Co0.0852 Al0.0216 Ti0.00846,26.56515761347392,56.49569067132269,57.02357662000186,1805.854280445188,8.466678610641159,4.005207226291194,130.6371389888719,1.8509287506596017
Fe0.677C0.000478Mn0.000104Si0.000204Cr0.000110Ni0.146Mo0.0188V0.000113Nb0.0000617Co0.149Al0.000638Ti0.00839,0.01,0.01,0.01,0.01,14.9,3.15,0.01,0.0,0.01,15.3,0.0,0.03,0.7,1669.3,1726.8,10.8,Fe0.677 C0.000478 Mn0.000104 Si0.000204 Cr0.00011 Ni0.146 Mo0.0188 V0.000113 Nb6.17e-05 Co0.149 Al0.000638 Ti0.00839,26.687582569544748,56.151494551846255,57.36305402739838,1814.4473720067776,8.375936046275212,4.017048378622132,130.55559348813222,1.8530136865998528
Fe0.677C0.00916Mn0.000100Si0.0294Cr0.134Ni0.00881Mo0.0113V0.000108Nb0.000474Co0.129Al0.000611,0.2,0.01,1.5,12.63,0.94,1.98,0.01,0.0,0.08,13.83,0.0,0.03,0.0,1382.2,1764.8,18.5,Fe0.677 C0.00916 Mn0.0001 Si0.0294 Cr0.134 Ni0.00881 Mo0.0113 V0.000108 Nb0.000474 Co0.129 Al0.000611,25.522145319376822,55.4630311321519,54.98764649462491,1881.1350761678184,8.088592277914284,3.9634416473409524,131.2231462564115,1.8264638291616793
Fe0.678C0.000464Mn0.000102Si0.000199Cr0.0873Ni0.114Mo0.000116V0.000110Nb0.0000600Co0.0992Al0.00806Ti0.0129,0.01,0.01,0.01,8.14,11.95,0.02,0.01,0.0,0.01,10.48,0.0,0.39,1.11,1768.0,1828.6,,Fe0.678 C0.000464 Mn0.000102 Si0.000199 Cr0.0873 Ni0.114 Mo0.000116 V0.00011 Nb6e-05 Co0.0992 Al0.00806 Ti0.0129,25.9868827029388,55.46027380008815,55.784914451521274,1825.1851875691527,8.14436023192149,3.990993602269241,131.35410305333974,1.8240497705672405
Fe0.678C0.00421Mn0.00645Si0.00741Cr0.133Ni0.0000958Mo0.0233V0.000110N0.00161Nb0.0000605Co0.145Al0.000625,0.09,0.63,0.37,12.3,0.01,3.97,0.01,0.04,0.01,15.2,0.0,0.03,0.0,1131.9,1595.4,13.4,Fe0.678 C0.00421 Mn0.00645 Si0.00741 Cr0.133 Ni9.58e-05 Mo0.0233 V0.00011 N0.00161 Nb6.05e-05 Co0.145 Al0.000625,26.03428851293161,54.81799737626231,56.23610063073617,1881.526979172219,7.909733482699221,4.0036859743849025,132.1257907892746,1.825854715501885
Fe0.679C0.00705Mn0.000103Si0.000201Cr0.153Ni0.00135Mo0.0282V0.00233Nb0.0000608Co0.128Al0.000628,0.15,0.01,0.01,14.13,0.14,4.8,0.21,0.0,0.01,13.33,0.0,0.03,0.0,1341.7,1745.5,18.5,Fe0.679 C0.00705 Mn0.000103 Si0.000201 Cr0.153 Ni0.00135 Mo0.0282 V0.00233 Nb6.08e-05 Co0.128 Al0.000628,26.118152121343766,54.48232163523025,56.444538916684174,1906.9477195239476,7.8076557510239795,4.013332829294422,132.55831070158612,1.8242466418407501
Fe0.680Mn0.000102Si0.000199Cr0.127Ni0.0976Mo0.00856V0.000110Nb0.0000601Co0.0709Al0.00891Ti0.00654,0.0,0.01,0.01,11.85,10.25,1.47,0.01,0.0,0.01,7.48,0.0,0.43,0.56,1586.7,1671.3,,Fe0.68 Mn0.000102 Si0.000199 Cr0.127 Ni0.0976 Mo0.00856 V0.00011 Nb6.01e-05 Co0.0709 Al0.00891 Ti0.00654,26.005151597365188,55.078201678011716,55.88325348144481,1849.0761212386915,8.013951963692115,3.999511090759616,131.95699738725065,1.818680333058295
Fe0.680Mn0.000104Si0.000204Cr0.111Ni0.0680Mo0.0327V0.000112N0.000408Nb0.0000616Co0.106Al0.000636,0.0,0.01,0.01,10.09,6.98,5.48,0.01,0.01,0.01,10.96,0.0,0.03,0.0,1373.9,1640.2,11.4,Fe0.68 Mn0.000104 Si0.000204 Cr0.111 Ni0.068 Mo0.0327 V0.000112 N0.000408 Nb6.16e-05 Co0.106 Al0.000636,26.5256230424841,54.9217826284675,57.21218055445898,1876.0594517594423,7.961205157273794,4.031129706844982,132.28550429452568,1.8329656485982746
Fe0.681C0.000478Mn0.000104Si0.000204Cr0.000110Ni0.181Mo0.0293V0.00439Nb0.0000618Co0.0847Al0.0108Ti0.00779,0.01,0.01,0.01,0.01,18.5,4.9,0.39,0.0,0.01,8.7,0.0,0.51,0.65,1164.4,1371.1,22.0,Fe0.681 C0.000478 Mn0.000104 Si0.000204 Cr0.00011 Ni0.181 Mo0.0293 V0.00439 Nb6.18e-05 Co0.0847 Al0.0108 Ti0.00779,26.719409747286278,56.26883052125843,57.377351918233316,1818.299002197937,8.401377565684585,4.017402882459289,130.85226221070948,1.8531687470960694
Fe0.681C0.00744Mn0.000102Si0.000199Cr0.154Ni0.0000952Mo0.0175V0.0106N0.00120Nb0.0000601Co0.126Al0.00104,0.16,0.01,0.01,14.36,0.01,3.01,0.97,0.03,0.01,13.33,0.0,0.05,0.0,1240.2,1598.5,14.0,Fe0.681 C0.00744 Mn0.000102 Si0.000199 Cr0.154 Ni9.52e-05 Mo0.0175 V0.0106 N0.0012 Nb6.01e-05 Co0.126 Al0.00104,25.87958994283935,54.4898718151052,55.88197636370095,1897.357832576739,7.810397300418328,3.9990403671283756,132.42634219753626,1.8203267755584942
Fe0.681C0.00877Mn0.00464Si0.00968Cr0.135Ni0.00898Mo0.00861V0.000109Nb0.0000597Co0.142Al0.000617,0.19,0.46,0.49,12.67,0.95,1.49,0.01,0.0,0.01,15.1,0.0,0.03,0.0,1250.8,1737.4,18.1,Fe0.681 C0.00877 Mn0.00464 Si0.00968 Cr0.135 Ni0.00898 Mo0.00861 V0.000109 Nb5.97e-05 Co0.142 Al0.000617,25.723919990450902,55.03815778770596,55.46120819704188,1877.9865111829251,7.981368945427542,3.9808224534368715,131.5458297368284,1.8232276105122966
Fe0.682C0.00515Mn0.000102Si0.000200Cr0.0995Ni0.0355Mo0.0117V0.00552Nb0.0000605Co0.159Al0.000625Ti0.000353,0.11,0.01,0.01,9.2,3.7,2.0,0.5,0.0,0.01,16.7,0.0,0.03,0.03,1453.8,1701.8,17.0,Fe0.682 C0.00515 Mn0.000102 Si0.0002 Cr0.0995 Ni0.0355 Mo0.0117 V0.00552 Nb6.05e-05 Co0.159 Al0.000625 Ti0.000353,26.08753384104698,55.10897554842126,56.24656534987379,1862.5563248060314,8.024576614930021,4.000635684030527,131.54474720431563,1.8300716757501294
Fe0.682C0.00877Mn0.000202Si0.00967Cr0.134Ni0.00907Mo0.00861V0.00501Nb0.0000597Co0.142Al0.000616,0.19,0.02,0.49,12.54,0.96,1.49,0.46,0.0,0.01,15.1,0.0,0.03,0.0,1241.0,1719.7,18.5,Fe0.682 C0.00877 Mn0.000202 Si0.00967 Cr0.134 Ni0.00907 Mo0.00861 V0.00501 Nb5.97e-05 Co0.142 Al0.000616,25.71611768589382,55.013634295015926,55.44582105793145,1880.6948991692766,7.973229106135883,3.980843847502374,131.61043139967822,1.8236704377376294
Fe0.682C0.00925Mn0.000101Si0.0101Cr0.134Ni0.00899Mo0.0115V0.000109Nb0.000479Co0.143Al0.000618,0.2,0.01,0.51,12.51,0.95,1.98,0.01,0.0,0.08,15.16,0.0,0.03,0.0,1314.2,1775.6,15.3,Fe0.682 C0.00925 Mn0.000101 Si0.0101 Cr0.134 Ni0.00899 Mo0.0115 V0.000109 Nb0.000479 Co0.143 Al0.000618,25.769536878078924,55.063238703910514,55.571279610817,1883.2948261205602,7.987306865890714,3.982763533760537,131.54257324173346,1.8259555845290742
Fe0.683C0.00704Mn0.000103Si0.000201Cr0.156Ni0.0000961Mo0.0299V0.00454N0.00121Nb0.0000607Co0.117Al0.000836,0.15,0.01,0.01,14.36,0.01,5.09,0.41,0.03,0.01,12.23,0.0,0.04,0.0,1471.0,1939.6,12.5,Fe0.683 C0.00704 Mn0.000103 Si0.000201 Cr0.156 Ni9.61e-05 Mo0.0299 V0.00454 N0.00121 Nb6.07e-05 Co0.117 Al0.000836,26.09371093698437,54.43163549758857,56.396576918225925,1908.9745396839237,7.787580296059909,4.0124238639950045,132.66357635920795,1.8246168659426303
Fe0.683C0.00749Mn0.000102Si0.000200Cr0.156Ni0.0000958Mo0.0309V0.00453N0.00522Nb0.0000605Co0.112Al0.000834,0.16,0.01,0.01,14.4,0.01,5.28,0.41,0.13,0.01,11.74,0.0,0.04,0.0,1646.7,2149.7,10.0,Fe0.683 C0.00749 Mn0.000102 Si0.0002 Cr0.156 Ni9.58e-05 Mo0.0309 V0.00453 N0.00522 Nb6.05e-05 Co0.112 Al0.000834,26.01957663701982,54.53004995940256,56.23370576848869,1904.1273961066636,7.811449610333454,4.004504552681876,132.44538705917432,1.8298757627077815
Fe0.683C0.00925Mn0.000202Si0.00969Cr0.134Ni0.00890Mo0.0114V0.000109Nb0.000120Co0.142Al0.000618,0.2,0.02,0.49,12.55,0.94,1.97,0.01,0.0,0.02,15.08,0.0,0.03,0.0,1258.6,1738.3,16.9,Fe0.683 C0.00925 Mn0.000202 Si0.00969 Cr0.134 Ni0.0089 Mo0.0114 V0.000109 Nb0.00012 Co0.142 Al0.000618,25.76599061933034,55.05338495670421,55.561666630018735,1882.9828502665396,7.984830214282355,3.9826996994863344,131.54453116165593,1.8258874559812026
Fe0.684C0.00699Mn0.000102Si0.000199Cr0.155Ni0.0000953Mo0.0177V0.00450N0.00120Nb0.0000602Co0.130Al0.000622,0.15,0.01,0.01,14.36,0.01,3.04,0.41,0.03,0.01,13.64,0.0,0.03,0.0,1233.3,1612.3,14.0,Fe0.684 C0.00699 Mn0.000102 Si0.000199 Cr0.155 Ni9.53e-05 Mo0.0177 V0.0045 N0.0012 Nb6.02e-05 Co0.13 Al0.000622,25.917656178080573,54.53295601010927,55.960126770803086,1894.8588863517443,7.825733643787885,4.000558938137483,132.31496943681884,1.8214221267336252
Fe0.684C0.00795Mn0.000102Si0.000200Cr0.156Ni0.0000957Mo0.0306V0.00452N0.00481Nb0.0000604Co0.109Al0.00271,0.17,0.01,0.01,14.48,0.01,5.22,0.41,0.12,0.01,11.41,0.0,0.13,0.0,1536.5,2135.9,10.0,Fe0.684 C0.00795 Mn0.000102 Si0.0002 Cr0.156 Ni9.57e-05 Mo0.0306 V0.00452 N0.00481 Nb6.04e-05 Co0.109 Al0.00271,25.986016072626906,54.55527639120559,56.1554469039319,1903.9588113811726,7.8182769408791435,4.0022302927229205,132.43536025917152,1.829051149639702
Fe0.684C0.00920Mn0.000101Si0.0197Cr0.134Ni0.00885Mo0.0114V0.00228Nb0.000476Co0.129Al0.000614,0.2,0.01,1.0,12.6,0.94,1.98,0.21,0.0,0.08,13.77,0.0,0.03,0.0,1344.4,1736.9,17.8,Fe0.684 C0.0092 Mn0.000101 Si0.0197 Cr0.134 Ni0.00885 Mo0.0114 V0.00228 Nb0.000476 Co0.129 Al0.000614,25.632777822794836,55.221104798718706,55.24842755316805,1883.3553012391692,8.024010099827834,3.973151824541501,131.4719648746875,1.8254124213076754
Fe0.685C0.00877Mn0.000101Si0.00967Cr0.134Ni0.00907Mo0.00855V0.00359Nb0.0000597Co0.141Al0.000617,0.19,0.01,0.49,12.53,0.96,1.48,0.33,0.0,0.01,14.95,0.0,0.03,0.0,1218.4,1738.3,19.3,Fe0.685 C0.00877 Mn0.000101 Si0.00967 Cr0.134 Ni0.00907 Mo0.00855 V0.00359 Nb5.97e-05 Co0.141 Al0.000617,25.718623844581675,55.02402512445426,55.44751860104152,1880.1441373424582,7.97672485477961,3.980790915725344,131.584748003279,1.8239152514469559
Fe0.685C0.0101Mn0.000101Si0.0199Cr0.134Ni0.00884Mo0.0114V0.000108Nb0.000475Co0.129Al0.000614,0.22,0.01,1.01,12.61,0.94,1.98,0.01,0.0,0.08,13.78,0.0,0.03,0.0,1383.7,1773.6,16.2,Fe0.685 C0.0101 Mn0.000101 Si0.0199 Cr0.134 Ni0.00884 Mo0.0114 V0.000108 Nb0.000475 Co0.129 Al0.000614,25.61882189571582,55.26503944822508,55.21394419296254,1884.33966850685,8.037117148122432,3.971147670223643,131.37171073035742,1.826508376870114
Fe0.685C0.0112Mn0.000102Si0.000199Cr0.0957Ni0.0705Mo0.00991V0.00307Nb0.0000602Co0.123Al0.000622Ti0.000351,0.24,0.01,0.01,8.9,7.4,1.7,0.28,0.0,0.01,13.0,0.0,0.03,0.03,1550.3,1940.7,14.3,Fe0.685 C0.0112 Mn0.000102 Si0.000199 Cr0.0957 Ni0.0705 Mo0.00991 V0.00307 Nb6.02e-05 Co0.123 Al0.000622 Ti0.000351,25.98686924723086,55.39790712185543,55.924746085606465,1869.1200748573945,8.113419815383239,3.986745411838704,131.02435856167693,1.8359759019127664
Fe0.685C0.0116Mn0.000101Si0.000198Cr0.151Ni0.00882Mo0.0116V0.000109Nb0.000479Co0.131Al0.000619,0.25,0.01,0.01,14.09,0.93,2.0,0.01,0.0,0.08,13.88,0.0,0.03,0.0,1438.6,1826.1,11.0,Fe0.685 C0.0116 Mn0.000101 Si0.000198 Cr0.151 Ni0.00882 Mo0.0116 V0.000109 Nb0.000479 Co0.131 Al0.000619,25.796680945822494,54.747832640031326,55.64421771793875,1896.1274568876768,7.895512960182942,3.9880682760867776,131.81349510157654,1.8234864561240784
Fe0.686C0.000466Mn0.000102Si0.000199Cr0.0951Ni0.103Mo0.00694V0.00450Nb0.0000602Co0.0877Al0.00892Ti0.00666,0.01,0.01,0.01,8.84,10.81,1.19,0.41,0.0,0.01,9.24,0.0,0.43,0.57,1755.2,1820.7,,Fe0.686 C0.000466 Mn0.000102 Si0.000199 Cr0.0951 Ni0.103 Mo0.00694 V0.0045 Nb6.02e-05 Co0.0877 Al0.00892 Ti0.00666,26.047549775560817,55.33009785852449,55.96515635834123,1836.962751858856,8.097821911570403,3.9969481232979,131.62327249053465,1.8242594187229257
Fe0.686C0.000469Mn0.000410Si0.000802Cr0.107Ni0.0671Mo0.0161Co0.0767W0.00745Al0.0376,0.01,0.04,0.04,9.9,6.99,2.75,0.0,0.0,0.0,8.02,2.43,1.8,0.0,1680.6,1768.7,6.5,Fe0.686 C0.000469 Mn0.00041 Si0.000802 Cr0.107 Ni0.0671 Mo0.0161 Co0.0767 W0.00745 Al0.0376,26.103924348084444,55.58494984649335,56.33229455229981,1840.8602504324094,8.145069530656814,3.9916569214039983,131.8758181769073,1.8222786708295362
Fe0.686C0.000478Mn0.000104Si0.000204Cr0.000110Ni0.143Mo0.0185V0.000113Nb0.0000618Co0.150Al0.000638Ti0.00144,0.01,0.01,0.01,0.01,14.6,3.1,0.01,0.0,0.01,15.4,0.0,0.03,0.12,1267.1,1331.5,15.8,Fe0.686 C0.000478 Mn0.000104 Si0.000204 Cr0.00011 Ni0.143 Mo0.0185 V0.000113 Nb6.18e-05 Co0.15 Al0.000638 Ti0.00144,26.705744113219346,56.221636002561546,57.40136783224124,1813.4259900776376,8.399414459898418,4.016752930698563,130.3721547460008,1.8547447915792235
Fe0.686C0.000910Mn0.0000995Si0.0354Cr0.146Ni0.0475Mo0.000114V0.000107Nb0.0000588Co0.0825Al0.000405Ti0.000457,0.02,0.01,1.82,13.9,5.1,0.02,0.01,0.0,0.01,8.9,0.0,0.02,0.04,1226.4,1329.8,17.0,Fe0.686 C0.00091 Mn9.95e-05 Si0.0354 Cr0.146 Ni0.0475 Mo0.000114 V0.000107 Nb5.88e-05 Co0.0825 Al0.000405 Ti0.000457,25.437440079363608,55.490444162295624,54.64082161441288,1854.7386090638868,8.10277821658578,3.9625309876541603,131.36803053530116,1.8159851175222321
Fe0.687C0.000467Mn0.000102Si0.000200Cr0.0835Ni0.114Mo0.00573V0.000110Nb0.0000604Co0.0947Al0.00562Ti0.00832,0.01,0.01,0.01,7.74,11.91,0.98,0.01,0.0,0.01,9.95,0.0,0.27,0.71,1779.7,1856.2,,Fe0.687 C0.000467 Mn0.000102 Si0.0002 Cr0.0835 Ni0.114 Mo0.00573 V0.00011 Nb6.04e-05 Co0.0947 Al0.00562 Ti0.00832,26.12979873963977,55.45295113248586,56.117691923354585,1831.6309192532099,8.142475955917197,3.9990362163028275,131.37598586290548,1.8281871424693548
Fe0.687C0.00974Mn0.000101Si0.000198Cr0.151Ni0.00883Mo0.0116V0.000109Nb0.000480Co0.131Al0.000620,0.21,0.01,0.01,14.08,0.93,2.0,0.01,0.0,0.08,13.83,0.0,0.03,0.0,1372.9,1800.2,16.8,Fe0.687 C0.00974 Mn0.000101 Si0.000198 Cr0.151 Ni0.00883 Mo0.0116 V0.000109 Nb0.00048 Co0.131 Al0.00062,25.833908609962442,54.70704862103493,55.72576143012736,1892.3739738457323,7.884398377899783,3.991787568028877,131.91755389845684,1.8221495026372119
Fe0.687C0.0162Mn0.000101Si0.000199Cr0.0965Ni0.0142Mo0.0116V0.00328Nb0.0000600Co0.170Al0.000620Ti0.000233,0.35,0.01,0.01,9.0,1.5,2.0,0.3,0.0,0.01,18.0,0.0,0.03,0.02,1731.7,2232.4,,Fe0.687 C0.0162 Mn0.000101 Si0.000199 Cr0.0965 Ni0.0142 Mo0.0116 V0.00328 Nb6e-05 Co0.17 Al0.00062 Ti0.000233,25.846577926045484,55.29724008068057,55.755009529843704,1884.0093644655515,8.07264150849056,3.9784408490859446,130.9569246984729,1.837834934844544
Fe0.687Mn0.000102Si0.000199Cr0.119Ni0.0952Mo0.00716V0.000110Nb0.0000601Co0.0712W0.000851Al0.0118Ti0.00689,0.0,0.01,0.01,11.11,10.0,1.23,0.01,0.0,0.01,7.51,0.28,0.57,0.59,1729.4,1817.2,,Fe0.687 Mn0.000102 Si0.000199 Cr0.119 Ni0.0952 Mo0.00716 V0.00011 Nb6.01e-05 Co0.0712 W0.000851 Al0.0118 Ti0.00689,25.99612784310406,55.16418645538425,55.8747020079972,1843.9175093022297,8.039616651965373,3.9969217828308725,131.8910915980948,1.8191106174331995
Fe0.688C0.00877Mn0.000101Si0.00987Cr0.134Ni0.00898Mo0.00856V0.000109Nb0.0000597Co0.141Al0.000617,0.19,0.01,0.5,12.53,0.95,1.48,0.01,0.0,0.01,15.02,0.0,0.03,0.0,1311.1,1789.4,16.2,Fe0.688 C0.00877 Mn0.000101 Si0.00987 Cr0.134 Ni0.00898 Mo0.00856 V0.000109 Nb5.97e-05 Co0.141 Al0.000617,25.72654473946588,55.059370439991646,55.459036319524685,1878.8677715096403,7.988158689815391,3.9805939943805746,131.50824220024526,1.8246193078921638
Fe0.689C0.000476Mn0.000104Si0.000204Cr0.111Ni0.0683Mo0.0327V0.000112Nb0.0000615Co0.0975Al0.000636,0.01,0.01,0.01,10.12,7.01,5.48,0.01,0.0,0.01,10.05,0.0,0.03,0.0,1486.2,1700.3,14.6,Fe0.689 C0.000476 Mn0.000104 Si0.000204 Cr0.111 Ni0.0683 Mo0.0327 V0.000112 Nb6.15e-05 Co0.0975 Al0.000636,26.51549830090886,54.89760957350486,57.1818028747308,1878.0141855936463,7.953339862722834,4.030966604622466,132.3320809504311,1.832411189553776
Fe0.689C0.00193Mn0.000105Si0.000206Cr0.000111Ni0.185Mo0.0362V0.000114Nb0.0000623Co0.0785Al0.00343Ti0.00507,0.04,0.01,0.01,0.01,18.8,6.0,0.01,0.0,0.01,8.0,0.0,0.16,0.42,1012.8,1198.9,6.0,Fe0.689 C0.00193 Mn0.000105 Si0.000206 Cr0.000111 Ni0.185 Mo0.0362 V0.000114 Nb6.23e-05 Co0.0785 Al0.00343 Ti0.00507,26.922274081868043,56.21042147151381,57.83854063068635,1833.1705185298847,8.385034713931773,4.028774117927841,130.8428091912573,1.859772810272551
Fe0.690C0.00697Mn0.000102Si0.000199Cr0.150Ni0.00885Mo0.0116V0.000110Nb0.000481Co0.130Al0.000621,0.15,0.01,0.01,14.01,0.93,1.99,0.01,0.0,0.08,13.76,0.0,0.03,0.0,1278.2,1610.8,17.7,Fe0.69 C0.00697 Mn0.000102 Si0.000199 Cr0.15 Ni0.00885 Mo0.0116 V0.00011 Nb0.000481 Co0.13 Al0.000621,25.89010474175946,54.64867613743864,55.84789698942833,1886.608937606426,7.868603800254872,3.99731813845373,132.07156235703496,1.820260127556102
Fe0.690C0.00785Mn0.000101Si0.0154Cr0.134Ni0.00898Mo0.0115V0.000109Nb0.000477Co0.132Al0.000617,0.17,0.01,0.78,12.54,0.95,1.99,0.01,0.0,0.08,13.99,0.0,0.03,0.0,1368.5,1727.5,17.3,Fe0.69 C0.00785 Mn0.000101 Si0.0154 Cr0.134 Ni0.00898 Mo0.0115 V0.000109 Nb0.000477 Co0.132 Al0.000617,25.72315226056258,55.121160719815705,55.451844678223914,1880.2326963819412,7.999686324340632,3.98028039007666,131.57607134223213,1.8247732744342349
Fe0.690C0.00970Mn0.000101Si0.0111Cr0.134Ni0.00936Mo0.0114V0.00370Nb0.000478Co0.129Al0.000617,0.21,0.01,0.56,12.54,0.99,1.97,0.34,0.0,0.08,13.76,0.0,0.03,0.0,1280.7,1772.2,12.5,Fe0.69 C0.0097 Mn0.000101 Si0.0111 Cr0.134 Ni0.00936 Mo0.0114 V0.0037 Nb0.000478 Co0.129 Al0.000617,25.72271715813402,55.02455235648192,55.45973586681274,1885.9261938394484,7.972154852239618,3.9807505282873885,131.65034578810872,1.8249250792431084
